codec,image,width,height,quality_param,psnr_db,ssim,bpp,compressed_bytes,encode_ms
jpeg,touchdown_1080p,1920,1080,q70,36.54,0.9291,1.037,268740,17.9
jpeg,touchdown_1080p,1920,1080,q80,37.98,0.9472,1.317,341403,19.3
jpeg,touchdown_1080p,1920,1080,q85,39.14,0.9594,1.598,414104,20.2
jpeg,touchdown_1080p,1920,1080,q90,41.35,0.9769,1.973,511333,21.5
jpeg,touchdown_1080p,1920,1080,q95,42.99,0.9832,2.555,662327,22.5
jpeg,touchdown_1080p,1920,1080,q98,44.5,0.9878,3.494,905695,26.8
jpeg2000,touchdown_1080p,1920,1080,r2,inf,1.0,9.894,2564444,424.4
jpeg2000,touchdown_1080p,1920,1080,r3,51.94,0.9971,7.999,2073373,417.6
jpeg2000,touchdown_1080p,1920,1080,r4,48.03,0.9931,6.0,1555158,415.3
jpeg2000,touchdown_1080p,1920,1080,r5,45.89,0.9888,4.798,1243663,412.7
jpeg2000,touchdown_1080p,1920,1080,r8,42.69,0.9781,3.0,777495,423.8
jpeg2000,touchdown_1080p,1920,1080,r10,41.54,0.9706,2.399,621921,411.5
jpeg2000,touchdown_1080p,1920,1080,r15,39.26,0.9528,1.599,414547,411.4
jpeg2000,touchdown_1080p,1920,1080,r20,37.93,0.9354,1.2,310951,409.4
jpeg2000,touchdown_1080p,1920,1080,r30,36.16,0.9078,0.8,207308,411.1
jpeg2000,touchdown_1080p,1920,1080,r40,35.14,0.8789,0.6,155534,409.1
jpeg2000,touchdown_1080p,1920,1080,r50,34.43,0.8653,0.48,124391,410.3
jpeg2000,touchdown_1080p,1920,1080,r80,32.91,0.8151,0.3,77770,419.5
jpeg2000,touchdown_1080p,1920,1080,r100,32.35,0.7903,0.239,61888,410.2
