name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
wavelet_53_q4,test_material/frames/bbb_1080p.png,1920,1080,256,4,0,43.41,43.19,43.80,43.25,0.9997,6.55,1696486,,,,
wavelet_97_q4,test_material/frames/bbb_1080p.png,1920,1080,256,4,0,46.77,46.56,47.06,46.70,0.9999,7.41,1919831,,,,
wavelet_53_q8,test_material/frames/bbb_1080p.png,1920,1080,256,8,0,37.88,37.69,38.20,37.77,0.9989,4.14,1073943,,,,
wavelet_97_q8,test_material/frames/bbb_1080p.png,1920,1080,256,8,0,41.92,41.68,42.09,41.98,0.9996,4.96,1285746,,,,
wavelet_53_q16,test_material/frames/bbb_1080p.png,1920,1080,256,16,0,32.55,32.33,32.79,32.54,0.9962,2.39,619496,,,,
wavelet_97_q16,test_material/frames/bbb_1080p.png,1920,1080,256,16,0,37.41,37.16,37.45,37.62,0.9987,3.17,822485,,,,
