sequence,frames,quality,temporal_mode,bpp,psnr_avg,psnr_min,psnr_lowpass_avg,psnr_lowpass_min,fps_enc,fps_dec,total_bytes
crowd_run,120,75,Haar,8.1526,40.06,39.92,22.39,20.22,19.5,26.0,253577577
park_joy,120,75,Haar,9.0365,40.16,39.87,20.51,19.22,18.1,33.6,281070718
