sequence,frames,quality,temporal_mode,bpp,psnr_avg,psnr_min,psnr_lowpass_avg,psnr_lowpass_min,fps_enc,fps_dec,total_bytes
crowd_run,120,75,None,7.5470,40.72,40.68,0.00,0.00,21.4,28.2,234741371
park_joy,120,75,None,7.9817,40.95,40.79,0.00,0.00,21.2,28.2,248264280
