name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
entropy_single_q4,test_material/frames/bbb_1080p.png,1920,1080,256,4,0,43.41,43.19,43.80,43.25,0.9997,6.55,1696486,,,,
entropy_subband_q4,test_material/frames/bbb_1080p.png,1920,1080,256,4,0,43.41,43.19,43.80,43.25,0.9997,6.03,1562678,,,,
entropy_single_q8,test_material/frames/bbb_1080p.png,1920,1080,256,8,0,37.88,37.69,38.20,37.77,0.9989,4.14,1073943,,,,
entropy_subband_q8,test_material/frames/bbb_1080p.png,1920,1080,256,8,0,37.88,37.69,38.20,37.77,0.9989,3.62,939224,,,,
entropy_single_q16,test_material/frames/bbb_1080p.png,1920,1080,256,16,0,32.55,32.33,32.79,32.54,0.9962,2.39,619496,,,,
entropy_subband_q16,test_material/frames/bbb_1080p.png,1920,1080,256,16,0,32.55,32.33,32.79,32.54,0.9962,1.92,498659,,,,
