delta_pct,image,psnr_y_delta,q,rans_bpp,rans_bytes,rans_coder_in_file,rans_coder_matches,rans_failed,rans_psnr_rgb,rans_psnr_y,rice_bpp,rice_bytes,rice_coder_in_file,rice_coder_matches,rice_psnr_rgb,rice_psnr_y
-9.001774653058723,bbb_1080p.png,0.0,5,0.5163271604938272,133832,rANS-subband,True,,28.907056372698435,29.895120291828565,0.5674035493827161,147071,Rice,True,28.907056372698435,29.895120291828565
-11.081473780194209,bbb_1080p.png,0.0,10,0.8051003086419753,208682,rANS-subband,True,,31.580489358206197,32.75270062357603,0.9054359567901235,234689,Rice,True,31.580489358206197,32.75270062357603
-10.38012861624863,bbb_1080p.png,0.0,15,0.997349537037037,258513,rANS-subband,True,,32.83514289970245,34.08816843226032,1.112866512345679,288455,Rice,True,32.83514289970245,34.08816843226032
-8.968148875884545,bbb_1080p.png,0.0,20,1.2333024691358025,319672,rANS-subband,True,,34.146069377985604,35.478034016411826,1.3548032407407407,351165,Rice,True,34.146069377985604,35.478034016411826
-3.25669483857305,bbb_1080p.png,0.0,25,1.550968364197531,402011,rANS-subband,True,,35.51256357012423,36.92339655537125,1.603179012345679,415544,Rice,True,35.51256357012423,36.92339655537125
-0.9026803707480836,bbb_1080p.png,0.0,40,2.1968942901234567,569435,rANS-subband,True,,38.55605716211173,39.704556542791636,2.216905864197531,574622,Rice,True,38.55605716211173,39.704556542791636
0.4661086534809893,bbb_1080p.png,0.0,55,3.0210841049382715,783065,rANS-subband,True,,41.18347217967766,42.47691047649626,3.007067901234568,779432,Rice,True,41.18347217967766,42.47691047649626
1.3580129300763495,bbb_1080p.png,0.0,70,4.186813271604938,1085222,rANS-subband,True,,43.97134529407996,45.30069499760138,4.1307175925925925,1070682,Rice,True,43.97134529407996,45.30069499760138
,bbb_1080p.png,,80,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,5.465162037037037,1416570,Rice,True,46.57660604351392,48.07977712333087
,bbb_1080p.png,,90,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,8.068854166666666,2091447,Rice,True,50.06263371737002,50.77021399255075
-0.764342299991304,blue_sky_1080p.png,0.0,5,0.4397839506172839,113992,rANS-subband,True,,30.930346445663353,32.942885007411626,0.4431712962962963,114870,Rice,True,30.930346445663353,32.942885007411626
-7.321131447587367,blue_sky_1080p.png,0.0,10,0.6059953703703703,157074,rANS-subband,True,,33.549036796976004,35.757891754030894,0.6538657407407408,169482,Rice,True,33.549036796976004,35.757891754030894
-7.366683095120745,blue_sky_1080p.png,0.0,15,0.7251273148148148,187953,rANS-subband,True,,34.70248395834921,36.979825973208364,0.7827932098765432,202900,Rice,True,34.70248395834921,36.979825973208364
-7.415736688254001,blue_sky_1080p.png,0.0,20,0.8846797839506173,229309,rANS-subband,True,,35.942554548922686,38.26001074857458,0.9555401234567901,247676,Rice,True,35.942554548922686,38.26001074857458
0.06974198916582353,blue_sky_1080p.png,0.0,25,1.1182137345679013,289841,rANS-subband,True,,37.236374946834715,39.55661857168992,1.117434413580247,289639,Rice,True,37.236374946834715,39.55661857168992
1.3378668381067902,blue_sky_1080p.png,0.0,40,1.7270756172839505,447658,rANS-subband,True,,39.93694972730395,41.82969458971884,1.7042746913580247,441748,Rice,True,39.93694972730395,41.82969458971884
1.6330716082486476,blue_sky_1080p.png,0.0,55,2.3630787037037035,612510,rANS-subband,True,,41.98853208161851,43.625318270926556,2.325108024691358,602668,Rice,True,41.98853208161851,43.625318270926556
1.7539921384861132,blue_sky_1080p.png,0.0,70,3.35766975308642,870308,rANS-subband,True,,44.18089004106909,45.40471449096912,3.2997916666666667,855306,Rice,True,44.18089004106909,45.40471449096912
,blue_sky_1080p.png,,80,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,4.702523148148148,1218894,Rice,True,46.577086370990266,47.65445931767444
,blue_sky_1080p.png,,90,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,6.870721450617284,1780891,Rice,True,49.941471919514264,50.52151880568975
11.143302874972138,kristensara_720p.png,0.0,5,0.34631944444444446,39896,rANS-subband,True,,32.28139007197198,33.033110285931585,0.31159722222222225,35896,Rice,True,32.28139007197198,33.033110285931585
3.066651139319121,kristensara_720p.png,0.0,10,0.4609548611111111,53102,rANS-subband,True,,35.073214359762986,35.99140739489884,0.44723958333333336,51522,Rice,True,35.073214359762986,35.99140739489884
0.5573274586525476,kristensara_720p.png,0.0,15,0.5309461805555555,61165,rANS-subband,True,,36.24063575668218,37.251121428676555,0.5280034722222222,60826,Rice,True,36.24063575668218,37.251121428676555
0.7692743603547334,kristensara_720p.png,0.0,20,0.6174392361111111,71129,rANS-subband,True,,37.38040654443762,38.5128161528376,0.6127256944444445,70586,Rice,True,37.38040654443762,38.5128161528376
8.239111826555774,kristensara_720p.png,0.0,25,0.7354340277777778,84722,rANS-subband,True,,38.413922389065306,39.65519215120401,0.679453125,78273,Rice,True,38.413922389065306,39.65519215120401
5.304617805793858,kristensara_720p.png,0.0,40,1.0687413194444444,123119,rANS-subband,True,,40.42855790628971,41.76043431134407,1.0149045138888888,116917,Rice,True,40.42855790628971,41.76043431134407
4.093656140180199,kristensara_720p.png,0.0,55,1.486171875,171207,rANS-subband,True,,42.13477518144957,43.55466020201314,1.4277256944444445,164474,Rice,True,42.13477518144957,43.55466020201314
-0.1400242500097776,kristensara_720p.png,0.0,70,2.21625,255312,rANS-subband,True,,44.07070941860865,45.449486200985525,2.219357638888889,255670,Rice,True,44.07070941860865,45.449486200985525
,kristensara_720p.png,,80,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,3.5616579861111113,410303,Rice,True,46.37527171822016,47.725551941795004
,kristensara_720p.png,,90,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,6.082204861111111,700670,Rice,True,49.65065960766977,50.36557149658614
-3.4813479093880226,touchdown_1080p.png,0.0,5,0.3304050925925926,85641,rANS-subband,True,,30.427095167980255,30.830168559350856,0.3423225308641975,88730,Rice,True,30.427095167980255,30.830168559350856
-10.37777483560615,touchdown_1080p.png,0.0,10,0.4700810185185185,121845,rANS-subband,True,,32.42279813190788,32.893581935216226,0.5245138888888888,135954,Rice,True,32.42279813190788,32.893581935216226
-11.112843360056607,touchdown_1080p.png,0.0,15,0.5719058641975309,148238,rANS-subband,True,,33.39558851614179,33.9142241932812,0.6434066358024692,166771,Rice,True,33.39558851614179,33.9142241932812
-11.215053921352656,touchdown_1080p.png,0.0,20,0.6997260802469136,181369,rANS-subband,True,,34.370275484116114,34.943458168679996,0.7881134259259259,204279,Rice,True,34.370275484116114,34.943458168679996
-3.5360215611070736,touchdown_1080p.png,0.0,25,0.8975578703703704,232647,rANS-subband,True,,35.43533806232042,36.086629707553854,0.9304591049382716,241175,Rice,True,35.43533806232042,36.086629707553854
-5.3629202507326275,touchdown_1080p.png,0.0,40,1.4614236111111112,378801,rANS-subband,True,,37.708152581805,38.456893574910595,1.5442399691358024,400267,Rice,True,37.708152581805,38.456893574910595
-5.90522741456495,touchdown_1080p.png,0.0,55,2.2162114197530864,574442,rANS-subband,True,,40.171555424610794,41.10999322326195,2.3552970679012346,610493,Rice,True,40.171555424610794,41.10999322326195
-5.570348566368974,touchdown_1080p.png,0.0,70,3.3862538580246913,877717,rANS-subband,True,,43.02444473616006,44.10909233557927,3.5860069444444442,929493,Rice,True,43.02444473616006,44.10909233557927
,touchdown_1080p.png,,80,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,5.281172839506173,1368880,Rice,True,46.11560663474539,47.322791555429134
,touchdown_1080p.png,,90,,,,,note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace,,,7.691855709876543,1993729,Rice,True,49.564504437922785,50.3129867721246
