sequence,frames,quality,temporal_mode,bpp,psnr_avg,psnr_min,fps_enc,fps_dec,total_bytes
rush_hour,120,75,Haar,1.0159,40.35,40.22,33.4,48.7,31597902
crowd_run,120,75,Haar,5.1259,37.04,36.77,31.7,44.7,159434777
stockholm,120,75,Haar,3.1032,37.07,35.85,55.2,82.0,42898992
park_joy,120,75,Haar,6.1957,36.96,36.19,31.3,44.2,192712384
bbb_2min,120,75,Haar,1.3040,49.00,43.85,34.6,51.3,40559682
